22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xb → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] MapCustomTrap Sandlord arena class='EMapCustomTrap' pos=(-3200,4050)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x9 → Carjack (pos match) vehicle_pos=(-8850,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xa → Sandlord (platform pos assigned) platform=(-3200,4050)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xb → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x1fba → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] MapCustomTrap Sandlord arena class='EMapCustomTrap' pos=(-3200,4050)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x9 → Carjack (pos match) vehicle_pos=(-8850,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xa → Sandlord (platform pos assigned) platform=(-3200,4050)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xb → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x1fba → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x185c → Carjack (pos match) vehicle_pos=(-8850,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x1872 → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] MapCustomTrap Sandlord arena class='EMapCustomTrap' pos=(-3200,4050)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x9 → Carjack (pos match) vehicle_pos=(-8850,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xa → Sandlord (platform pos assigned) platform=(-3200,4050)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xb → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x1fba → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x185c → Carjack (pos match) vehicle_pos=(-8850,0)
